,0
Intercept,12518.539355948293
auvergne_rhône_alpes,-0.0033935998022639087
bourgogne_franche_comté,0.0072653700169179256
bretagne,-0.005534059495098559
centre_val_de_loire,0.006064241884662985
corse,-0.0001846105973618081
grand_est,0.003931755363668525
hauts_de_france,-0.004527394093136343
normandie,0.011918428083492857
nouvelle_aquitaine,0.02450180066583069
occitanie,0.030146842194750778
pays_de_la_loire,-0.0029039264348878994
provence_alpes_côte_d_azur,0.010969158799827235
île_de_france,-0.004460619801345
