Date,sun,wind
2022-02-01,3901271.9107632544,4.906874540512734
2022-02-02,4494408.171282355,3.6619046773236836
2022-02-03,4781210.526474235,2.776254774005453
2022-02-04,4245189.604610988,3.987258107421859
2022-02-05,7963899.6606030585,3.375998658397594
2022-02-06,3917552.7803627686,6.370705871912673
2022-02-07,7807839.082058642,3.903952278700063
2022-02-08,8440684.349846052,2.348802302788204
2022-02-09,9666394.995484052,2.369104942382085
2022-02-10,7011160.428130786,2.917037906238953
2022-02-11,8655706.20782869,2.744932829620172
2022-02-12,8991912.388746357,2.7432734966614842
2022-02-13,8434560.51457488,5.42141001592078
2022-02-14,5142642.875954403,5.148232684700375
2022-02-15,5693332.679594553,4.817934467579242
2022-02-16,2112128.6562715443,6.63207653820226
2022-02-17,6638069.516609873,5.6523824688447535
2022-02-18,6786408.8077375265,5.983816707402576
2022-02-19,9207994.824605312,4.913113561120997
2022-02-20,5183475.867643003,6.178430942460703
2022-02-21,8105678.478992673,7.460177626909307
2022-02-22,7216775.934162513,4.480830425531955
2022-02-23,10051203.065464465,2.086709517936869
2022-02-24,8075423.501479771,4.132912090730115
2022-02-25,12182367.595988123,3.2720769822360114
2022-02-26,13823000.177630348,3.6289757997475847
2022-02-27,13044562.290302208,3.179848605760808
2022-02-28,13531091.34170639,2.243730902043302
2022-03-01,9339172.687091278,2.2126313610697683
2022-03-02,6475567.06783924,2.345775560116348
2022-03-03,9276993.180777015,1.9632615497978023
2022-03-04,9018576.505377403,3.070502435982206
2022-03-05,11438372.79669526,2.744033494697652
2022-03-06,14014974.54795836,3.2265505219751325
2022-03-07,15541246.632923298,3.3630859420285746
2022-03-08,12535371.992012685,3.415879463398379
2022-03-09,13743089.570354357,3.3656021054669765
2022-03-10,10778264.826768339,3.3798087877302954
2022-03-11,7942449.192596714,5.419824436740001
2022-03-12,8287041.849336688,4.534921157717488
2022-03-13,6639803.888029861,4.454975830550332
2022-03-14,12549686.407271804,3.59398446070981
2022-03-15,10965466.88973369,4.018582520708134
2022-03-16,13320413.105105579,3.112643961277192
2022-03-17,9545907.883785062,3.915977199739247
2022-03-18,13442515.980519224,4.747923823569599
2022-03-19,16713212.393338323,4.031214292658546
2022-03-20,14001422.2577214,3.3239420229971386
2022-03-21,15909682.842863616,3.7213962763347226
2022-03-22,18259637.872010913,3.8016338811463792
2022-03-23,19007183.356208634,2.7232032207253405
2022-03-24,19086680.610157974,2.257150584259046
2022-03-25,19103495.6705208,2.9445279066111936
2022-03-26,19513181.72543482,3.5137308420414044
2022-03-27,19438558.37268555,2.561919153573467
2022-03-28,17905292.278837062,2.223642220441144
2022-03-29,11961898.465076426,2.4634273529243944
2022-03-30,8709033.39073826,2.6495614482588667
2022-03-31,11397865.356895585,4.477687850921242
2022-04-01,13473462.841957532,6.036481753042177
2022-04-02,15306256.743046802,5.161874416743684
2022-04-03,18826305.847128112,3.219524077760172
2022-04-04,17858886.418994248,3.0235911772969732
2022-04-05,11321752.308117319,3.2509628806771373
2022-04-06,9643077.924637567,4.307291601511637
2022-04-07,8220758.218976521,7.0464084821686415
2022-04-08,8132993.949338166,5.966838891878417
2022-04-09,18384299.01402458,3.378893149335535
2022-04-10,22144500.834088404,2.85095464417358
2022-04-11,20660406.99592263,4.935960269470892
2022-04-12,15682831.494799875,4.078689813823934
2022-04-13,14306461.464524897,1.8480946478702265
2022-04-14,20986458.265629925,1.8940511903673862
2022-04-15,22082129.16189332,2.583773563583425
2022-04-16,23518315.890098095,3.650604256361229
2022-04-17,24032655.774858177,3.0715615674256127
2022-04-18,21379412.622971162,2.571324272830688
2022-04-19,18337807.633509297,2.7107405138266025
2022-04-20,15611861.832394421,3.098952249329525
2022-04-21,18191353.736211788,2.6324781399933355
2022-04-22,21500995.62515758,2.7881331288522335
2022-04-23,11740060.497419635,4.009764214589489
2022-04-24,12421030.312913647,3.295528382433973
2022-04-25,18581299.19252285,2.691323905575531
2022-04-26,23471486.066222817,2.7514249514585973
2022-04-27,24356801.456074692,3.4397396256962574
2022-04-28,23631960.825795777,2.956604830176017
2022-04-29,21340050.313386384,2.691726582321074
2022-04-30,22748598.081054997,3.2017994292077034
2022-05-01,22025070.874034826,2.5040502182336635
2022-05-02,19348160.084777813,2.5152659865756664
2022-05-03,19012727.87893949,2.5348572241547696
2022-05-04,18385790.639300346,2.3838628737352745
2022-05-05,19527510.62373936,2.8207520364609135
2022-05-06,22610637.559791602,3.2761861814325086
2022-05-07,22031543.55824535,2.9946353603055496
2022-05-08,22986690.023459658,2.9759825550022483
